client_id,age_group,client_tier,preferred_channel,acquisition_channel,boutique_id,boutique_name,boutique_city,region,boutique_format,boutique_sales_tier,boutique_clienteling_maturity,boutique_wfj_focus_flag,boutique_digital_adoption_score,advisor_id,advisor_tenure_years,advisor_client_book_size,advisor_productivity_tier,primary_division,primary_category,secondary_category_interest,cross_category_flag,strategic_division_opportunity,last_purchase_days,purchase_frequency_12m,transaction_count_12m,total_units_12m,atv,upt,total_spend_12m,lifetime_spend,average_order_value,categories_purchased,relationship_tenure_years,high_value_client_flag,client_value_score,online_visits_90d,product_page_views_90d,fashion_page_views_90d,beauty_page_views_90d,wfj_page_views_90d,wishlist_additions_90d,high_intent_browsing_flag,app_engagement_score,last_campaign_type,campaign_sent_30d,campaign_open_30d,campaign_click_30d,campaign_conversion_30d,days_since_last_campaign,digital_campaign_click_rate,appointment_scheduled_flag,appointment_completed_flag,appointment_conversion_flag,days_since_last_appointment,appointment_count_12m,boutique_visits_12m,email_open_rate,email_opt_in_flag,sms_opt_in_flag,client_contactable_flag,preferred_contact_method,service_interaction_12m,return_or_exchange_12m,estimated_return_rate,client_satisfaction_score,service_recovery_flag,clienteling_touchpoints_90d,event_attendance_12m,advisor_follow_up_flag,repeat_purchase_probability_true,repeat_purchase_90d,estimated_clienteling_revenue
C000644,35-44,Core,Omnichannel,Online Search,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A14,4,155,Core,Fashion,Shoes,Shoes,1,Medium Strategic Value,33,1,1,2,6738.51,2.0,6738.51,17067.47,6738.51,2,2,0,6.51,5,30,12,1,0,6,1,66.9,Beauty Replenishment,1,0,0,0,20,0.12,1,1,0,121,1,3,0.034,1,0,1,Email,0,0,0.0,93.6,0,1,0,0,0.7662,1,5163.19
C000645,25-34,Core,Boutique,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A09,2,144,Core,Fashion,Ready-to-Wear,Accessories,1,Medium Strategic Value,41,4,4,7,6719.17,1.75,26876.68,79231.18,6719.17,6,4,1,9.8,5,10,15,4,0,1,0,83.7,WFJ Appointment Invite,1,1,0,0,24,0.519,1,1,0,50,0,4,0.294,1,1,1,Email + SMS,1,0,0.0,86.9,0,1,0,0,0.8794,1,5908.95
C000646,55-64,New,Online,Email Campaign,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Makeup,Fashion Entry,1,Scale Opportunity,122,0,0,0,0.0,0.0,0.0,30.96,86.21,2,1,0,1.91,12,48,4,8,1,2,1,39.7,WFJ Appointment Invite,1,1,0,0,9,0.332,0,0,0,999,0,2,0.385,0,1,1,SMS,1,0,0.0,82.1,0,0,0,0,0.1935,0,16.69
C000647,35-44,New,Omnichannel,Referral,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A01,3,206,High Performer,Fashion,Accessories,Fragrance Discovery,1,Medium Strategic Value,212,0,0,0,0.0,0.0,0.0,0.0,3657.04,2,1,0,0.7,11,44,7,7,2,1,0,71.7,Fragrance Launch,1,1,0,0,5,0.158,0,0,0,999,3,4,0.262,0,0,0,Do Not Contact,1,0,0.0,87.2,0,1,0,0,0.1795,0,164.13
C000648,45-54,High Potential,Omnichannel,Referral,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A11,3,166,Core,Fashion,Handbags,Fine Jewelry Interest,1,Medium Strategic Value,157,4,4,7,5545.92,1.75,22183.68,73115.33,5545.92,2,2,1,9.32,15,30,14,1,8,3,1,32.4,Fashion Preview,1,0,0,0,18,0.296,1,1,0,70,0,11,0.545,1,0,1,Email,1,0,0.0,91.2,0,0,0,1,0.8009,1,4441.64
C000649,45-54,Core,Omnichannel,Boutique Walk-In,B008,Boston Boutique,Boston,Northeast,Fragrance & Beauty Boutique,Tier 3,Emerging,0,68,B008_A11,3,179,Top Performer,Fashion,Small Leather Goods,Fragrance Discovery,1,Medium Strategic Value,123,0,0,0,0.0,0.0,0.0,0.0,1581.24,2,1,0,0.7,13,65,8,5,3,5,1,41.2,Fragrance Launch,1,0,0,1,24,0.279,0,0,0,999,0,2,0.502,1,1,1,Email + SMS,0,0,0.0,84.8,0,0,0,0,0.368,1,581.83
C000650,35-44,Core,Online,Boutique Walk-In,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A08,3,141,Core,Fragrance & Beauty,Skincare,Fashion Entry,1,Scale Opportunity,70,2,2,5,295.06,2.5,590.12,1503.16,295.06,1,2,0,5.06,8,40,5,19,2,0,0,54.6,Fragrance Launch,1,1,1,1,9,0.354,0,0,0,999,1,1,0.321,0,1,1,SMS,0,0,0.0,74.3,0,4,0,0,0.707,1,208.6
C000651,25-34,High Potential,Omnichannel,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A12,3,175,High Performer,Fragrance & Beauty,Skincare,Fashion Entry,1,Scale Opportunity,136,4,4,9,617.79,2.25,2471.16,9099.31,617.79,3,4,0,6.44,11,33,6,10,1,2,1,47.1,No Recent Campaign,0,0,0,0,999,0.415,0,0,0,999,1,5,0.528,1,1,1,Email + SMS,0,0,0.0,82.3,0,4,0,0,0.8318,0,513.9
C000652,35-44,High Potential,Omnichannel,Boutique Walk-In,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A12,3,292,Core,Fragrance & Beauty,Makeup,Fine Jewelry Interest,1,Scale Opportunity,146,3,3,8,244.47,2.67,733.41,2346.31,244.47,5,0,0,4.87,10,20,5,18,8,2,1,27.1,Reactivation,1,1,0,0,20,0.304,0,0,0,999,0,7,0.1,1,1,1,Email + SMS,0,0,0.0,84.0,0,6,0,0,0.7212,0,176.31
C000653,35-44,New,Omnichannel,Referral,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A05,3,217,Top Performer,Fragrance & Beauty,Fragrance,Handbags,1,Scale Opportunity,71,2,2,4,96.02,2.0,192.04,211.56,96.02,1,0,0,3.69,16,112,7,10,1,1,1,23.7,Beauty Replenishment,1,1,0,0,19,0.383,0,0,0,999,0,0,0.758,1,0,1,Email,2,0,0.0,91.2,0,1,0,0,0.6406,1,61.51
C000654,45-54,Core,Online,Boutique Walk-In,B007,San Francisco Boutique,San Francisco,West,Fashion Boutique,Tier 2,Developing,0,78,B007_A02,3,108,Core,Fashion,Small Leather Goods,Fine Jewelry Interest,1,Medium Strategic Value,120,4,4,5,2414.08,1.25,9656.32,26610.4,2414.08,1,2,0,6.76,6,18,10,5,4,0,0,52.6,Welcome Journey,1,0,0,0,19,0.233,0,0,0,999,2,1,0.498,0,1,1,SMS,0,0,0.0,82.0,0,2,0,1,0.6746,1,1628.44
C000655,35-44,New,Boutique,Event,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A15,3,152,Core,Fragrance & Beauty,Makeup,Handbags,1,Scale Opportunity,82,1,1,2,254.68,2.0,254.68,306.37,254.68,1,0,0,3.89,3,15,2,17,0,0,0,4.2,Fragrance Launch,1,1,0,0,25,0.257,0,0,0,999,0,3,0.448,1,1,1,Email + SMS,4,1,1.0,74.5,0,0,0,0,0.2668,0,67.94
C000656,25-34,New,Omnichannel,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A09,6,220,High Performer,Watches & Fine Jewelry,Bridal / Occasion Jewelry,Fashion Styling,1,High Strategic Value,324,2,2,2,12405.76,1.0,24811.52,34020.91,12405.76,2,3,0,7.28,11,33,1,1,8,3,1,68.6,Welcome Journey,1,0,0,0,15,0.378,0,0,0,999,0,1,0.189,1,1,1,Email + SMS,2,0,0.0,64.5,1,0,0,0,0.1235,0,995.87
C000657,25-34,High Potential,Online,Online Search,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A04,4,144,Core,Fashion,Accessories,Fine Jewelry Interest,1,Medium Strategic Value,109,2,2,3,7404.73,1.5,14809.46,47366.69,7404.73,2,3,0,7.27,11,33,10,4,6,1,0,36.5,Fragrance Launch,1,1,0,0,25,0.46,0,0,0,999,0,2,0.563,1,0,1,Email,0,0,0.0,86.2,0,2,0,1,0.676,1,5005.65
C000658,35-44,High Potential,Online,Email Campaign,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A06,3,211,Core,Fragrance & Beauty,Skincare,Fashion Entry,1,Scale Opportunity,165,1,1,2,639.87,2.0,639.87,2210.55,639.87,3,2,0,5.21,7,21,9,9,2,4,1,33.2,Reactivation,1,0,0,0,5,0.157,0,0,0,999,0,0,0.216,0,0,0,Do Not Contact,0,0,0.0,73.8,0,4,1,0,0.3553,1,56.83
C000659,45-54,VIP,Online,Boutique Walk-In,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A04,3,137,Core,Fashion,Handbags,Accessories,1,Medium Strategic Value,118,2,2,3,14763.94,1.5,29527.88,163114.77,14763.94,4,7,1,10.67,6,24,8,6,2,2,1,70.5,Private Event,1,0,0,0,10,0.094,1,0,0,10,1,1,0.077,1,0,1,Email,0,0,0.0,100.0,0,4,2,1,0.8373,1,12361.17
C000660,35-44,Core,Online,Online Search,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A07,4,93,Top Performer,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,297,1,1,1,8451.07,1.0,8451.07,22062.65,8451.07,3,5,0,7.26,6,12,10,6,1,2,1,47.0,Welcome Journey,1,1,0,0,26,0.051,0,0,0,999,1,0,0.611,1,1,1,Email + SMS,0,0,0.0,72.3,0,1,0,0,0.1744,0,1474.11
C000661,35-44,New,Online,Online Search,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A03,7,195,Top Performer,Fragrance & Beauty,Fragrance,None,0,Scale Opportunity,296,0,0,0,0.0,0.0,0.0,0.0,133.26,1,1,0,0.2,6,36,2,7,4,0,0,66.0,No Recent Campaign,0,0,0,0,999,0.158,0,0,0,999,1,1,0.053,1,0,1,Email,1,0,0.0,72.5,0,0,0,0,0.0226,0,3.01
C000662,65+,New,Online,Boutique Walk-In,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Fragrance,Fashion Entry,1,Scale Opportunity,53,0,0,0,0.0,0.0,0.0,41.6,90.67,1,1,0,2.01,15,30,5,9,0,1,0,75.9,Private Event,1,0,0,0,26,0.124,0,0,0,999,0,0,0.145,1,1,1,Email + SMS,1,0,0.0,92.1,0,0,0,0,0.2499,1,22.66
C000663,45-54,High Potential,Omnichannel,Social Media,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A08,7,154,Top Performer,Fashion,Small Leather Goods,None,0,Medium Strategic Value,181,2,2,3,5584.49,1.5,11168.98,40194.78,5584.49,1,4,0,6.84,14,28,10,2,0,0,0,65.2,Fashion Preview,1,1,0,0,9,0.271,0,0,0,999,1,8,0.421,1,0,1,Email,1,0,0.0,77.9,0,0,0,1,0.562,0,3138.4
C000664,25-34,Core,Online,Online Search,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A11,4,181,Core,Fashion,Handbags,Accessories,1,Medium Strategic Value,311,1,1,1,5431.11,1.0,5431.11,13497.93,5431.11,4,2,0,6.38,4,16,6,6,3,3,1,31.0,Beauty Replenishment,1,0,0,0,18,0.343,0,0,0,999,1,0,0.682,1,0,1,Email,2,0,0.0,100.0,0,0,0,0,0.1398,0,759.16
C000665,25-34,Core,Online,Event,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A09,2,123,Core,Watches & Fine Jewelry,Bridal / Occasion Jewelry,Watches,1,High Strategic Value,72,3,3,5,32790.94,1.67,98372.82,255177.91,32790.94,1,1,1,9.93,10,40,4,2,7,0,0,25.2,Beauty Replenishment,1,1,0,0,27,0.256,1,0,0,104,1,0,0.514,1,0,1,Email,2,0,0.0,86.1,0,2,0,0,0.7194,1,23589.79
C000666,25-34,High Potential,Boutique,Referral,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A12,2,201,Core,Watches & Fine Jewelry,High Jewelry Interest,None,0,High Strategic Value,45,6,6,8,16698.68,1.33,100192.08,357010.7,16698.68,1,3,1,9.95,2,14,3,4,10,1,1,15.7,Fragrance Launch,1,1,1,0,6,0.372,0,0,0,999,0,1,0.792,0,1,1,SMS,0,0,0.0,74.7,0,0,1,1,0.896,1,14961.42
C000667,25-34,High Potential,Boutique,Social Media,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A08,6,182,Core,Fragrance & Beauty,Fragrance,Fashion Entry,1,Scale Opportunity,64,1,1,2,342.91,2.0,342.91,1134.35,342.91,1,4,0,5.22,7,21,2,18,2,1,0,5.0,Beauty Replenishment,1,1,0,0,27,0.313,0,0,0,999,0,6,0.774,1,0,1,Email,1,0,0.0,80.0,0,0,0,0,0.5353,1,183.57
C000668,25-34,High Potential,Boutique,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A11,5,257,Core,Fragrance & Beauty,Skincare,Fashion Entry,1,Scale Opportunity,61,3,3,7,299.63,2.33,898.89,3117.69,299.63,1,5,0,6.02,1,4,10,11,0,0,0,57.0,Fragrance Launch,1,1,1,0,20,0.375,0,0,0,999,1,5,0.431,1,0,1,Email,1,0,0.0,69.4,1,2,0,0,0.6891,1,134.2
C000669,25-34,New,Online,Social Media,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A01,3,152,Emerging,Fragrance & Beauty,Skincare,Fashion Entry,1,Scale Opportunity,241,0,0,0,0.0,0.0,0.0,0.0,314.09,1,0,0,0.5,8,24,8,14,0,3,1,12.7,Welcome Journey,1,0,0,0,11,0.277,0,0,0,999,0,0,0.142,1,1,1,Email + SMS,1,0,0.0,81.4,0,1,0,0,0.0423,0,13.29
C000670,25-34,High Potential,Boutique,Boutique Walk-In,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A07,3,132,High Performer,Fashion,Ready-to-Wear,Fragrance Discovery,1,Medium Strategic Value,52,2,2,2,5527.96,1.0,11055.92,35388.01,5527.96,5,5,0,7.49,0,0,13,9,3,0,0,15.0,Beauty Replenishment,1,1,0,0,4,0.517,0,0,1,999,0,5,0.503,1,1,1,Email + SMS,2,0,0.0,82.3,0,0,0,0,0.7326,1,4049.68
C000671,25-34,High Potential,Omnichannel,Social Media,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A14,4,196,Top Performer,Fashion,Ready-to-Wear,Fine Jewelry Interest,1,Medium Strategic Value,17,1,1,1,10969.26,1.0,10969.26,38950.38,10969.26,6,0,0,6.53,12,48,13,1,14,6,1,55.5,WFJ Appointment Invite,1,0,0,0,4,0.278,1,1,0,85,2,5,0.573,1,0,1,Email,1,0,0.0,87.2,0,1,0,0,0.9366,1,10273.38
C000672,55-64,Core,Online,Event,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Fragrance,Fine Jewelry Interest,1,Scale Opportunity,110,4,4,12,134.04,3.0,536.16,1137.3,134.04,3,0,0,4.53,16,80,2,11,10,1,1,67.0,Welcome Journey,1,0,0,0,24,0.315,0,0,0,999,1,0,0.228,1,1,1,Email + SMS,0,0,0.0,68.7,1,0,0,0,0.4891,0,42.61
C000673,25-34,Core,Boutique,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A05,6,99,Core,Fragrance & Beauty,Makeup,Fashion Entry,1,Scale Opportunity,57,4,4,7,183.79,1.75,735.16,1802.34,183.79,1,2,0,5.17,1,3,7,10,2,0,0,10.4,Fashion Preview,1,0,0,0,29,0.324,0,0,0,999,0,1,0.375,1,0,1,Email,1,0,0.0,78.3,0,2,0,0,0.5458,0,100.3
C000674,35-44,Core,Boutique,Referral,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A01,1,238,Core,Fashion,Ready-to-Wear,Fine Jewelry Interest,1,Medium Strategic Value,42,3,3,5,6893.42,1.67,20680.26,53410.5,6893.42,1,2,1,9.19,3,12,12,5,9,0,1,57.3,Beauty Replenishment,1,0,0,0,27,0.086,0,0,0,999,0,6,0.338,1,1,1,Email + SMS,5,0,0.0,94.2,0,0,0,0,0.733,0,5052.86
C000675,35-44,VIP,Boutique,Email Campaign,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A08,4,132,High Performer,Watches & Fine Jewelry,High Jewelry Interest,Handbags,1,High Strategic Value,44,3,3,5,22398.5,1.67,67195.5,369796.19,22398.5,2,7,1,11.17,3,21,1,4,9,0,1,38.2,Reactivation,1,1,0,0,8,0.109,0,0,0,999,1,8,0.597,1,1,1,Email + SMS,5,0,0.0,88.9,0,8,0,0,0.9602,1,21507.17
C000676,65+,New,Online,Referral,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Small Leather Goods,Shoes,1,Medium Strategic Value,75,1,1,1,1958.18,1.0,1958.18,3009.89,1958.18,1,0,0,5.2,13,78,13,5,2,2,1,25.5,Fragrance Launch,1,1,0,0,6,0.177,0,0,0,999,0,0,0.517,1,1,1,Email + SMS,0,1,1.0,64.1,1,0,0,0,0.3487,1,443.88
C000677,25-34,Core,Omnichannel,Online Search,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A11,5,187,High Performer,Fashion,Handbags,None,0,Medium Strategic Value,107,2,2,3,6572.57,1.5,13145.14,33984.81,6572.57,1,1,0,6.22,16,96,8,5,2,2,1,57.8,Fashion Preview,1,0,0,1,4,0.263,0,0,0,999,0,10,0.259,0,1,1,SMS,2,0,0.0,90.9,0,2,1,0,0.817,1,5369.59
C000678,35-44,New,Online,Social Media,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A04,5,140,Top Performer,Fashion,Handbags,Shoes,1,Medium Strategic Value,54,1,1,2,3692.16,2.0,3692.16,3863.03,3692.16,1,0,0,5.44,5,35,10,6,0,2,1,36.6,Fashion Preview,1,1,0,0,8,0.377,0,0,0,999,0,0,0.384,0,0,0,Do Not Contact,1,0,0.0,70.1,0,1,0,0,0.519,1,479.06
C000679,65+,High Potential,Online,Email Campaign,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Makeup,Handbags,1,Scale Opportunity,34,2,2,4,250.03,2.0,500.06,1811.02,250.03,3,2,0,5.08,9,18,1,13,3,0,0,57.7,WFJ Appointment Invite,1,1,1,1,29,0.192,1,1,0,153,2,1,0.382,1,0,1,Email,0,0,0.0,95.7,0,3,1,0,0.8434,1,210.88
C000680,55-64,New,Boutique,Online Search,B009,Washington DC Boutique,Washington DC,Northeast,Mixed Boutique,Tier 3,Emerging,0,66,B009_A06,3,284,Top Performer,Fashion,Accessories,Fine Jewelry Interest,1,Medium Strategic Value,72,2,2,3,2579.46,1.5,5158.92,5158.92,2579.46,1,0,0,5.63,2,8,9,4,10,0,1,40.5,Fashion Preview,1,0,0,0,14,0.117,0,0,0,999,1,1,0.099,1,0,1,Email,0,1,0.5,96.0,0,1,0,0,0.4452,0,1148.31
C000681,55-64,New,Online,Referral,B008,Boston Boutique,Boston,Northeast,Fragrance & Beauty Boutique,Tier 3,Emerging,0,68,B008_A08,5,102,Core,Fragrance & Beauty,Skincare,Skincare,1,Scale Opportunity,304,1,1,2,77.42,2.0,77.42,185.18,77.42,3,2,0,3.82,9,27,2,16,3,0,0,77.9,Fragrance Launch,1,0,0,0,3,0.225,0,0,0,999,0,1,0.459,1,1,1,Email + SMS,0,0,0.0,93.7,0,0,0,1,0.0851,0,6.59
C000682,25-34,Core,Omnichannel,Boutique Walk-In,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A11,4,210,Core,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,52,2,2,2,1740.0,1.0,3480.0,8348.53,1740.0,1,1,0,5.9,12,60,11,13,3,2,1,49.4,Reactivation,1,0,0,0,18,0.423,0,0,0,999,0,3,0.272,0,0,0,Do Not Contact,1,0,0.0,90.5,0,1,0,1,0.7353,0,319.86
C000683,25-34,VIP,Boutique,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A04,4,209,High Performer,Fragrance & Beauty,Fragrance,None,0,Scale Opportunity,84,5,5,10,1250.81,2.0,6254.05,35781.36,1250.81,3,5,1,8.86,5,10,6,18,2,0,0,24.0,WFJ Appointment Invite,1,1,1,0,28,0.379,1,0,0,65,3,12,0.455,1,1,1,Email + SMS,6,0,0.0,84.9,0,10,1,1,0.9823,1,1228.7
C000684,45-54,New,Online,Event,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A13,2,237,Core,Fragrance & Beauty,Fragrance,Handbags,1,Scale Opportunity,30,0,0,0,0.0,0.0,0.0,40.03,154.06,1,0,0,1.8,9,36,3,12,2,0,0,43.3,Reactivation,1,0,0,0,12,0.128,0,0,0,999,1,0,0.083,1,1,1,Email + SMS,0,0,0.0,84.3,0,1,0,0,0.2412,0,37.17
C000685,55-64,New,Online,Referral,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Fragrance,Handbags,1,Scale Opportunity,42,0,0,0,0.0,0.0,0.0,62.56,76.07,1,0,0,1.95,17,102,5,16,3,1,1,36.0,WFJ Appointment Invite,1,0,0,0,11,0.391,0,0,0,999,0,0,0.168,1,1,1,Email + SMS,1,0,0.0,86.2,0,0,0,0,0.2461,0,18.72
C000686,35-44,High Potential,Boutique,Referral,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A14,5,143,Top Performer,Fragrance & Beauty,Skincare,None,0,Scale Opportunity,133,3,3,7,207.87,2.33,623.61,2113.56,207.87,1,3,0,4.89,4,20,4,14,2,0,0,37.9,Welcome Journey,1,1,1,0,7,0.668,0,0,0,999,0,2,0.372,1,0,1,Email,1,0,0.0,71.5,0,2,1,1,0.5054,1,105.06
C000687,35-44,Core,Online,Email Campaign,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A12,1,154,Core,Fragrance & Beauty,Skincare,None,0,Scale Opportunity,30,2,2,4,103.98,2.0,207.96,405.43,103.98,2,0,0,3.44,13,65,5,14,1,1,1,30.0,Fashion Preview,1,0,0,0,12,0.182,0,0,0,999,4,0,0.346,1,1,1,Email + SMS,1,0,0.0,91.7,0,2,0,0,0.6869,1,71.43
C000688,25-34,VIP,Boutique,Boutique Walk-In,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A14,2,215,Core,Fashion,Handbags,Accessories,1,Medium Strategic Value,85,7,7,15,15046.3,2.14,105324.1,554794.74,15046.3,3,6,1,11.22,2,10,9,3,3,0,0,25.8,Beauty Replenishment,1,0,0,0,24,0.291,0,0,0,999,2,9,0.193,1,0,1,Email,1,1,0.143,70.9,1,2,2,1,0.9353,0,9147.51
C000689,45-54,New,Omnichannel,Boutique Walk-In,B007,San Francisco Boutique,San Francisco,West,Fashion Boutique,Tier 2,Developing,0,78,B007_A07,2,205,Core,Fragrance & Beauty,Fragrance,Fashion Entry,1,Scale Opportunity,23,2,2,4,300.3,2.0,600.6,600.6,300.3,3,0,0,4.34,14,42,13,18,3,5,1,66.0,WFJ Appointment Invite,1,0,0,1,8,0.299,0,1,0,999,0,1,0.316,1,0,1,Email,0,0,0.0,86.2,0,1,0,0,0.8185,1,245.79
C000690,25-34,Core,Boutique,Email Campaign,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A02,5,243,Core,Fashion,Ready-to-Wear,Accessories,1,Medium Strategic Value,157,3,3,5,4932.65,1.67,14797.95,35860.02,4932.65,2,2,0,6.97,3,15,13,3,2,0,0,19.3,Private Event,1,0,0,0,29,0.129,0,0,0,999,1,4,0.267,1,0,1,Email,1,1,0.333,76.9,0,1,0,0,0.359,0,1770.73
C000691,35-44,New,Online,Boutique Walk-In,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A04,0,144,Core,Fashion,Small Leather Goods,Fine Jewelry Interest,1,Medium Strategic Value,79,0,0,0,0.0,0.0,0.0,0.0,2454.17,1,2,0,0.9,10,20,9,1,17,2,1,32.6,Welcome Journey,1,1,0,0,20,0.356,0,0,0,999,0,0,0.531,0,1,1,SMS,1,0,0.0,95.3,0,1,0,0,0.3057,0,750.24
C000692,35-44,New,Boutique,Event,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A05,3,145,Core,Watches & Fine Jewelry,Watches,Handbags,1,High Strategic Value,149,0,0,0,0.0,0.0,0.0,101.18,5780.02,1,1,0,2.32,2,14,4,3,8,0,1,2.2,Fashion Preview,1,0,0,0,6,0.417,0,0,0,999,1,2,0.187,1,1,1,Email + SMS,1,0,0.0,79.7,0,0,1,0,0.0955,0,552.03
C000693,35-44,High Potential,Omnichannel,Social Media,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A05,2,149,Core,Watches & Fine Jewelry,Bridal / Occasion Jewelry,Fashion Styling,1,High Strategic Value,58,1,1,2,43908.46,2.0,43908.46,144602.9,43908.46,1,5,1,10.33,16,32,1,6,8,0,1,61.7,Private Event,1,1,0,0,25,0.318,0,0,0,999,2,8,0.306,0,1,1,SMS,1,0,0.0,77.6,0,2,0,1,0.8829,1,38766.49
C000694,25-34,Core,Boutique,Boutique Walk-In,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A09,3,182,Core,Watches & Fine Jewelry,Watches,Fragrance Discovery,1,High Strategic Value,50,1,1,1,14903.06,1.0,14903.06,43796.96,14903.06,1,2,0,7.04,4,16,6,12,13,0,1,13.5,Beauty Replenishment,1,0,0,0,16,0.174,0,0,0,999,0,1,0.494,1,0,1,Email,1,0,0.0,72.1,0,2,0,0,0.5281,1,7870.75
C000695,25-34,High Potential,Omnichannel,Online Search,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A10,4,323,High Performer,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,106,3,3,6,330.95,2.0,992.85,3276.09,330.95,1,3,0,5.66,6,24,2,9,1,0,0,65.1,WFJ Appointment Invite,1,0,0,0,7,0.269,0,0,0,999,2,7,0.51,1,1,1,Email + SMS,1,0,0.0,83.1,0,6,0,1,0.8682,0,287.34
